name,formula,inchikey,smiles,source
(2S)-1-amino-2-propanol,C3H9NO,HXKKHQJGJAFBHI-VKHMYHEASA-N,C[C@H](O)CN,xml_inchi
(2S)-3-hydroxy-2-methyl-propanoic acid methyl ester,C5H10O3,ATCCIZURPPEVIZ-BYPYZUCNSA-N,COC(=O)[C@@H](C)CO,xml_inchi
(2S)-chloromethyl-oxirane,C3H5ClO,BRLQWZUYTZBJKN-GSVOUGTGSA-N,ClC[C@@H]1CO1,xml_inchi
"(2S,3R)-2-ethyl-3-methylpentanamide",C8H17NO,QRCJOCOSPZMDJY-RQJHMYQMSA-N,CC[C@@H](C)[C@H](CC)C(=N)O,xml_inchi
"(2S,3S)-(-)-tartaric acid",C4H6O6,FEWJPZIEWOKRBE-LWMBPPNESA-N,O=C(O)[C@@H](O)[C@H](O)C(=O)O,xml_inchi
"(2S,3S)-2-acetamido-N,3-dimethylpentanamide",C9H18N2O2,VFPIEHZHPRLCOB-XPUUQOCRSA-N,CC[C@H](C)[C@H](N=C(C)O)C(O)=NC,xml_inchi
"(2S,3S)-2-ethyl-3-methylpentanamide",C8H17NO,QRCJOCOSPZMDJY-BQBZGAKWSA-N,CC[C@H](C(=N)O)[C@@H](C)CC,xml_inchi
"(2S,4R)-4-hydroxypyrrolidine-2-carboxylic acid",C5H9NO3,PMMYEEVYMWASQN-DMTCNVIQSA-N,O=C(O)[C@@H]1C[C@@H](O)CN1,xml_inchi
"(2S,4S)-pentane-2,4-diol",C5H12O2,GTCCGKPBSJZVRZ-WHFBIAKZSA-N,C[C@H](O)C[C@H](C)O,xml_inchi
"(2S,5R)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid 4,4-dioxide",C8H11NO5S,FKENQMMABCRJMK-RITPCOANSA-N,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,xml_inchi
"(2S,5S)-2,5-hexanediol",C6H14O2,OHMBHFSEKCCCBW-WDSKDSINSA-N,C[C@H](O)CC[C@H](C)O,xml_inchi
"(3,4-dimethoxyphenyl)acetonitrile",C10H11NO2,ASLSUMISAQDOOB-UHFFFAOYSA-N,COc1ccc(CC#N)cc1OC,xml_inchi
(3-aminopropyl)tributylphosphonium L-alaninate,C18H41N2O2P,KJZFOLHWIMNBKS-WNQIDUERSA-M,CCCC[P+](CCCC)(CCCC)CCCN.C[C@H](N)C(=O)[O-],xml_inchi
(3-aminopropyl)tributylphosphonium L-leucinate,C21H47N2O2P,YHCUIQFCGJFAKV-ZSCHJXSPSA-M,CC(C)C[C@H](N)C(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCN,xml_inchi
(3-aminopropyl)tributylphosphonium L-valinate,C20H45N2O2P,SBZPSRIAEPYERQ-VWMHFEHESA-M,CC(C)[C@H](N)C(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCN,xml_inchi
(3-aminopropyl)tributylphosphonium glycinate,C17H39N2O2P,BPMOGWIWTHBQLR-UHFFFAOYSA-M,CCCC[P+](CCCC)(CCCC)CCCN.NCC(=O)[O-],xml_inchi
(3-chlorophenyl)ethanoic acid,C8H7ClO2,WFPMUFXQDKMVCO-UHFFFAOYSA-N,O=C(O)Cc1cccc(Cl)c1,xml_inchi
(3-chloropropyl)benzene,C9H11Cl,XZBXAYCCBFTQHH-UHFFFAOYSA-N,ClCCCc1ccccc1,xml_inchi
(3-methylbutyl)benzene,C11H16,XNXIYYFOYIUJIW-UHFFFAOYSA-N,CC(C)CCc1ccccc1,xml_inchi
"(3R,3'S,5'R)-3,3'-dihydroxy-.beta.,.kappa.-caroten-6'-one",C40H56O3,VYIRVAXUEZSDNC-RDJLEWNRSA-N,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C(=O)[C@]2(C)C[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1,xml_inchi
"(3R,6R)-3,6-dimethyl-1,4-dioxane-2,5-dione",C6H8O4,JJTUDXZGHPGLLC-QWWZWVQMSA-N,C[C@H]1OC(=O)[C@@H](C)OC1=O,xml_inchi
