file,year,dataset,solute,solvent,solute_name,solvent_name,T,gamma_inf,ln_gamma_inf,method
j.fluid.2005.08.018.xml,2005,5,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ethanol,water,368.15,6.1,1.8082887711792655,circulating still method
j.fluid.2005.08.018.xml,2005,5,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,ethanol,water,372.15,6.2,1.824549292051046,circulating still method
j.fluid.2005.08.018.xml,2005,6,BDERNNFJNOPAEC-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,propan-1-ol,water,273.35,8.9,2.186051276738094,headspace analysis
j.fluid.2005.08.018.xml,2005,6,BDERNNFJNOPAEC-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,propan-1-ol,water,283.15,11.2,2.4159137783010487,headspace analysis
j.fluid.2005.08.018.xml,2005,6,BDERNNFJNOPAEC-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,propan-1-ol,water,293.15,13.5,2.6026896854443837,headspace analysis
j.fluid.2005.08.018.xml,2005,7,BDERNNFJNOPAEC-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,propan-1-ol,water,303.15,15.3,2.72785282839839,comparative tensimetry
j.fluid.2005.08.018.xml,2005,7,BDERNNFJNOPAEC-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,propan-1-ol,water,308.15,16.1,2.7788192719904172,comparative tensimetry
j.fluid.2005.08.018.xml,2005,7,BDERNNFJNOPAEC-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,propan-1-ol,water,313.15,16.7,2.8154087194227095,comparative tensimetry
j.fluid.2005.08.018.xml,2005,7,BDERNNFJNOPAEC-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,propan-1-ol,water,318.15,17.5,2.8622008809294686,comparative tensimetry
j.fluid.2005.08.018.xml,2005,7,BDERNNFJNOPAEC-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,propan-1-ol,water,323.15,18.1,2.89591193827178,comparative tensimetry
j.fluid.2005.08.018.xml,2005,7,BDERNNFJNOPAEC-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,propan-1-ol,water,328.15,18.6,2.9231615807191558,comparative tensimetry
j.fluid.2005.08.018.xml,2005,7,BDERNNFJNOPAEC-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,propan-1-ol,water,333.15,19.0,2.9444389791664403,comparative tensimetry
j.fluid.2005.08.018.xml,2005,8,BDERNNFJNOPAEC-UHFFFAOYSA-N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,propan-1-ol,water,358.15,20.1,3.0007198150650303,circulating still method
