inchikey,name,C6_au,alpha_au
NOPJRYAFUXTDLX-UHFFFAOYSA-N,"1,1,1,2,2,3,3-heptafluoro-3-methoxypropane_[hfe3",2377.57539147617,65.55129868579228
NIXOWILDQLNWCW-UHFFFAOYSA-N,acrylic_acid,885.7206041536338,45.835184696403346
ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,diisopropyl_ether,2957.0279797874086,80.54047009387456
FLIACVVOZYBSBS-UHFFFAOYSA-N,hexadecanoic_acid_methyl_ester,20285.532427441776,211.37481096931046
VQTUBCCKSQIDNK-UHFFFAOYSA-N,isobutene,1090.2793205113364,51.23432938295127
IAQRGUVFOMOMEM-ONEGZZNKSA-N,trans-2-butene,1088.5451676440334,51.18941378471492
NUMQCACRALPSHD-UHFFFAOYSA-N,tert-butyl_ethyl_ether,2959.8870196940557,80.59363676746324
DCKVNWZUADLDEH-RXMQYKEDSA-N,sec-butyl_acetate,3063.927338511471,82.01614883096809
ZWEHNKRNPOVVGH-UHFFFAOYSA-N,methyl_ethyl_ketone,1289.4760579409271,53.71599729506203
XTHFKEDIFFGKHM-UHFFFAOYSA-N,"1,2-dimethoxyethane",1772.1630160602895,61.8474818895005
MSSNHSVIGIHOJA-UHFFFAOYSA-N,"1,1,1,3,3-pentafluoropropane_[r245fa]",1159.9893289089089,46.14805789410002
RFFLAFLAYFXFSW-UHFFFAOYSA-N,o-dichlorobenzene,3407.304601583438,92.96686024393274
GAEKPEKOJKCEMS-BYPYZUCNSA-N,gamma-valerolactone,1966.253796711717,65.43468666613381
ZAZKJZBWRNNLDS-UHFFFAOYSA-N,tetradecanoic_acid_methyl_ester,16024.573766163914,187.8464779014577
MMKRHZKQPFCLLS-UHFFFAOYSA-N,ethyl-tetradecanoate,18100.6123647486,199.64910961819913
SBZXBUIDTXKZTM-UHFFFAOYSA-N,diethylene_glycol_dimethyl_ether,3780.494305457854,90.14483448835725
RRQYJINTUHWNHW-UHFFFAOYSA-N,diethylene_glycol_diethyl_ether,5980.3141980759365,113.66430094004801
YFNKIDBQEZZDLK-UHFFFAOYSA-N,triethylene_glycol_dimethyl_ether,6551.759057841976,118.57208643510319
ZUHZGEOKBKGPSW-UHFFFAOYSA-N,tetraethylene_glycol_dimethyl_ether,10084.456651747356,147.03050093461889
UJPMYEOUBPIPHQ-UHFFFAOYSA-N,"1,1,1-trifluoroethane",539.1675764934811,32.02225475913673
NTIZESTWPVYFNL-UHFFFAOYSA-N,methyl_isobutyl_ketone,2677.9329609297893,77.24638205514084
GJRQTCIYDGXPES-UHFFFAOYSA-N,isobutyl_acetate,3063.467539222603,82.01598711661738
UFWIBTONFRDIAS-UHFFFAOYSA-N,naphthalene,4470.92822602862,108.5777554188563
FLKPEMZONWLCSK-UHFFFAOYSA-N,diethyl_phthalate,9789.46970191425,151.82696456444762
YTPLMLYBLZKORZ-UHFFFAOYSA-N,thiophene,1572.7370896996501,65.09842157859322
NPNPZTNLOVBDOC-UHFFFAOYSA-N,"1,1-difluoroethane",464.4166187756307,30.28608039564937
YFMFNYKEUDLDTL-UHFFFAOYSA-N,"1,1,1,2,3,3,3-heptafluoropropane",1398.141248141524,49.22069592611554
HQABUPZFAYXKJW-UHFFFAOYSA-N,n-butylamine,1661.695382936386,60.92622539166578
PIICEJLVQHRZGT-UHFFFAOYSA-N,ethylenediamine,952.9002173433313,46.37096661431277
UUIQMZJEGPQKFD-UHFFFAOYSA-N,methyl_n-butyrate,2248.0852446129734,70.23557014787032
HNBDRPTVWVGKBR-UHFFFAOYSA-N,methyl_pentanoate,3062.216614853845,82.00769975764582
DKGAVHZHDRPRBM-UHFFFAOYSA-N,2-methyl-2-propanol,1474.8127596869263,56.70287459478682
IEJIGPNLZYLLBP-UHFFFAOYSA-N,dimethyl_carbonate,1247.809746998274,51.73654254645044
VDHBXQMYKGNZRP-UHFFFAOYSA-N,butyl_isobutyl_ether,4922.342762584817,103.98193611778153
HPXRVTGHNJAIIH-UHFFFAOYSA-N,cyclohexanol,2604.583290284131,75.22441365304798
JHIVVAPYMSGYDF-UHFFFAOYSA-N,cyclohexanone,2360.2645959920246,72.30034981658092
GUVUOGQBMYCBQP-UHFFFAOYSA-N,"n,n'-dimethylpropylene_urea_<dmpu>",3680.7993690053763,90.62047072005045
AVQQQNCBBIEMEU-UHFFFAOYSA-N,"1,1,3,3-tetramethyl_urea",3121.443342586817,83.7372950285431
CYSGHNMQYZDMIA-UHFFFAOYSA-N,"1,3-dimethylimidazolidin-2-one",2781.3391651113516,78.83430457882007
YEJRWHAVMIAJKC-UHFFFAOYSA-N,gamma-butyrolactone,1326.7658420366029,53.66918448990259
SYBYTAAJFKOIEJ-UHFFFAOYSA-N,methyl_isopropyl_ketone,1921.1541704173133,65.48085310355899
ISWSIDIOOBJBQZ-UHFFFAOYSA-N,phenol,2067.409165075689,72.59679282450382
VGGSQFUCUMXWEO-UHFFFAOYSA-N,ethylene,294.22302575144585,27.66365999366621
QQZOPKMRPOGIEB-UHFFFAOYSA-N,2-hexanone,2675.2528492266692,77.1991881033697
YKYONYBAUNKHLG-UHFFFAOYSA-N,n-propyl_acetate,2248.1501316377953,70.22334206980011
OTBHHUPVCYLGQO-UHFFFAOYSA-N,bis(3-aminopropyl)amine,4692.089147862528,102.46981287513535
IPBVNPXQWQGGJP-UHFFFAOYSA-N,acetic_acid_phenyl_ester,3908.289053496362,98.09281456416157
NQPDZGIKBAWPEJ-UHFFFAOYSA-N,n-pentanoic_acid,2240.567057985145,69.99642819026684
FUZZWVXGSFPDMH-UHFFFAOYSA-N,n-hexanoic_acid,3051.7400395014834,81.74489094651405
MNWFXJYAOYHMED-UHFFFAOYSA-N,n-heptanoic_acid,3986.251555916765,93.46302738223208
WWZKQHOCKIZLMA-UHFFFAOYSA-N,n-octanoic_acid,5050.540172779994,105.24833732834225
LCGLNKUTAGEVQW-UHFFFAOYSA-N,dimethyl_ether,511.33516288635343,33.3738808289192
PFEOZHBOMNWTJB-UHFFFAOYSA-N,3-methylpentane,2576.360883563245,75.6468015051736
HNRMPXKDFBEGFZ-UHFFFAOYSA-N,"2,2-dimethylbutane",2583.1099448298837,75.76393753497301
WJTCGQSWYFHTAC-UHFFFAOYSA-N,cyclooctane,4030.682067159199,94.34330499075224
LIKMAJRDDDTEIG-UHFFFAOYSA-N,1-hexene,2384.6927552940806,74.74636550785375
ZGEGCLOFRBLKSE-UHFFFAOYSA-N,1-heptene,3219.285845110452,86.48824563767296
KWKAKUADMBZCLK-UHFFFAOYSA-N,1-octene,4180.470610449851,98.25090472145638
AFFLGGQVNFXPEV-UHFFFAOYSA-N,1-decene,6483.9781351995625,121.83193534583106
IBXNCJKFFQIKKY-UHFFFAOYSA-N,1-pentyne,1450.3744334509538,58.31870015119698
CGHIBGNXEGJPQZ-UHFFFAOYSA-N,1-hexyne,2117.975456252965,70.12154806085859
YVXHZKKCZYLQOP-UHFFFAOYSA-N,1-heptyne,2907.611419819969,81.85410951354457
UMIPWJGWASORKV-UHFFFAOYSA-N,1-octyne,3824.0512152798146,93.61501045573968
YNQLUTRBYVCPMQ-UHFFFAOYSA-N,ethylbenzene,3344.854955142074,91.65264501961069
PPBRXRYQALVLMV-UHFFFAOYSA-N,styrene,3136.743662563592,90.81763188665428
HVZJRWJGKQPSFL-UHFFFAOYSA-N,methyl_tert-pentyl_ether,2959.322053273304,80.6073026787073
RTZKZFJDLAIYFH-UHFFFAOYSA-N,diethyl_ether,1479.6096934924315,56.90105003160096
POLCUAVZOMRGSN-UHFFFAOYSA-N,di-n-propyl_ether,2949.3760961981134,80.43382156266736
XNLICIUVMPYHGG-UHFFFAOYSA-N,2-pentanone,1919.658889654863,65.4533365783408
FDPIMTJIUBPUKL-UHFFFAOYSA-N,3-pentanone,1920.3725071725794,65.46460396285207
JUJWROOIHBZHMG-UHFFFAOYSA-N,pyridine,1566.832695064833,63.46957129098565
OFBQJSOFQDEBGM-UHFFFAOYSA-N,n-pentane,1832.3170483679253,63.82365114331889
YWAKXRMUMFPDSH-UHFFFAOYSA-N,1-pentene,1674.2723061446106,62.985665390969885
RAHZWNYVWXNFOC-UHFFFAOYSA-N,sulfur_dioxide,378.8612657469832,30.128392873273285
LPNBBFKOUUSUDB-UHFFFAOYSA-N,p-toluic_acid,3901.495294105665,97.94943094330833
XXROGKLTLUQVRX-UHFFFAOYSA-N,allyl_alcohol,814.8226455431796,44.01916194837407
LWWJDXKGQVEZKT-QMMMGPOBSA-N,2-ethyl-1-hexanol,4905.608050292145,103.70873714477177
OBNCKNCVKJNDBV-UHFFFAOYSA-N,ethyl_n-butyrate,3062.1896220613326,81.99330077508098
MCSINKKTEDDPNK-UHFFFAOYSA-N,n-propyl_propionate,3060.730022857593,81.96771992862956
DIQMPQMYFZXDAX-UHFFFAOYSA-N,n-pentyl_formate,3058.6956129232976,81.95082787105792
CATSNJVOTSVZJV-UHFFFAOYSA-N,2-heptanone,3556.6310530259198,88.95432669724134
JJWKPURADFRFRB-UHFFFAOYSA-N,carbonyl_sulfide,446.51806859830475,33.99429416351477
ATHHXGZTWNVVOU-UHFFFAOYSA-N,n-methylformamide,678.7105175074223,39.210470656180725
RSJKGSCJYJTIGS-UHFFFAOYSA-N,n-undecane,8161.701328918,134.44031165326447
PHTQWCKDNZKARW-UHFFFAOYSA-N,3-methyl-1-butanol,2138.983411664862,68.35737809264319
WGECXQBGLLYSFP-ZETCQYMHSA-N,"2,3-dimethylpentane",3448.2702444544916,87.49077928528725
VQKFNUFAXTZWDK-UHFFFAOYSA-N,2-methylfuran,1556.1057372225891,61.82739384997466
JFCQEDHGNNZCLN-UHFFFAOYSA-N,glutaric_acid,2717.9711569554393,76.60988867668141
PAFZNILMFXTMIY-UHFFFAOYSA-N,cyclohexylamine,2868.487048764516,79.73227826472043
JOOXCMJARBKPKM-UHFFFAOYSA-N,levulinic_acid,2359.1867238806185,72.0032925143425
QWTDNUCVQCZILF-UHFFFAOYSA-N,isopentane,1836.1054334968956,63.903816207858576
BKOOMYPCSUNDGP-UHFFFAOYSA-N,2-methyl-2-butene,1676.7648425282828,63.00169488805639
LPIQUOYDBNQMRZ-UHFFFAOYSA-N,cyclopentene,1426.764410778277,58.063773355385415
RRHGJUQNOFWUDK-UHFFFAOYSA-N,isoprene,1527.1412429131185,62.150608720064085
QQONPFPTGQHPMA-UHFFFAOYSA-N,propylene,628.65263980016,39.432277624369085
MLFHJEHSLIIPHL-UHFFFAOYSA-N,isopentyl_acetate,4002.090961307793,93.77326027132152
PAYRUJLWNCNPSJ-UHFFFAOYSA-N,aniline,2297.2013120465203,76.97425643266713
JYVLIDXNZAXMDK-YFKPBYRVSA-N,2-pentanol,2141.1985433716814,68.38528852693324
MVPPADPHJFYWMZ-UHFFFAOYSA-N,monochlorobenzene,2514.6991014572923,80.473629315423
RDOXTESZEPMUJZ-UHFFFAOYSA-N,anisole,2861.2824696562266,84.66164235686173
AUHZEENZYGFFBQ-UHFFFAOYSA-N,mesitylene,4325.529918444741,103.42214975403924
URAYPUMNDPQOKB-UHFFFAOYSA-N,glyceryl_triacetate,7871.642198068784,130.7503307751961
WMIYKQLTONQJES-UHFFFAOYSA-N,hexafluoroethane,799.9687839256674,36.84868186197254
NBUKAOOFKZFCGD-UHFFFAOYSA-N,"2,2,3,3-tetrafluoro-1-propanol",1296.263001026347,49.107055856306424
OPKOKAMJFNKNAS-UHFFFAOYSA-N,methylethanolamine,1321.1122903392309,53.84135809052512
RLSSMJSEOOYNOY-UHFFFAOYSA-N,m-cresol,2848.6488657835703,84.33952503186671
IWDCLRJOBJJRNH-UHFFFAOYSA-N,p-cresol,2849.0620707057988,84.3461553557807
YPFDHNVEDLHUCE-UHFFFAOYSA-N,"1,3-propylene_glycol",1149.6454124290647,49.430696936211554
QYSGYZVSCZSLHT-UHFFFAOYSA-N,octafluoropropane,1530.106373073975,50.81892269928261
OCKPCBLVNKHBMX-UHFFFAOYSA-N,n-butylbenzene,5424.725826877838,115.16893066959385
NDJKXXJCMXVBJW-UHFFFAOYSA-N,n-heptadecane,19012.691244165566,205.0711269355448
RWRDLPDLKQPQOW-UHFFFAOYSA-N,pyrrolidine,1418.438495406284,56.12755813807164
NQRYJNQNLNOLGT-UHFFFAOYSA-N,piperidine,2081.8702633308126,67.99549315961431
PAMIQIKDUOTOBW-UHFFFAOYSA-N,n-methylpiperidine,2876.1710960142204,79.92785053278438
