fam_solute,fam_solvent,n,MAE,bias,model
water,nitrile,1,1.0549096959463138,1.0549096959463138,cosmosac_dsp
acid,alkane,6,5.923652660922312,5.923652660922312,Z0
alcohol,acid,133,0.4079966206532511,-0.07929857587590057,Z0
alcohol,alcohol,59,2.57853764464701,2.473843249186421,Z0
alcohol,alkane,38,3.7326922652967025,3.7326922652967025,Z0
alcohol,amide,9,0.5396642543421931,-0.5396642543421931,Z0
alcohol,amine,16,0.44890221296418503,-0.28720699381937675,Z0
alcohol,aromatic HC,27,3.3926867463872634,3.3926867463872634,Z0
alcohol,water,177,1.9546287807825065,1.9546287807825065,Z0
alkane,acid,111,0.48052240520575784,0.44148554770611775,Z0
alkane,alcohol,456,0.6597178915165605,-0.011138669412846561,Z0
alkane,alkane,1,0.2147567923681224,0.2147567923681224,Z0
alkane,amide,34,1.1108700034018193,-1.1103917682382027,Z0
alkane,amine,23,0.4161993565744518,0.4133740908871489,Z0
alkane,aromatic HC,77,0.23951886586422025,0.21268391168316148,Z0
alkane,ether,24,0.30408170265366746,-0.30408170265366746,Z0
alkane,ketone/aldehyde,31,0.543133521249395,0.5301155523758839,Z0
alkane,nitrile,1,2.116977385648472,2.116977385648472,Z0
alkene/alkyne,acid,25,0.37280190670984675,0.3414277579464508,Z0
alkene/alkyne,alcohol,429,0.6048396832409842,-0.2928478549041106,Z0
alkene/alkyne,alkane,1,1.5521367327868396,1.5521367327868396,Z0
alkene/alkyne,amide,13,1.5047713267073237,-1.5047713267073237,Z0
alkene/alkyne,amine,20,0.12383133870954596,0.08537369203780906,Z0
alkene/alkyne,aromatic HC,146,0.17868920254326054,-0.170535874875167,Z0
alkene/alkyne,ether,30,0.364264760566691,-0.364264760566691,Z0
alkene/alkyne,nitrile,1,2.042022514513198,2.042022514513198,Z0
alkene/alkyne,water,1,3.869593262561816,3.869593262561816,Z0
amide,water,30,2.0178041655924206,-2.0178041655924206,Z0
amine,alkane,3,3.73551613831375,3.73551613831375,Z0
amine,aromatic HC,5,3.0020082382941524,3.0020082382941524,Z0
amine,water,18,2.632892150455485,2.632892150455485,Z0
aromatic HC,acid,41,0.7645039221571531,0.7645039221571531,Z0
aromatic HC,alcohol,133,0.8903548528858719,-0.406157071390625,Z0
aromatic HC,amide,16,0.7286616227066808,-0.7286616227066808,Z0
aromatic HC,amine,18,0.6549359388384166,0.6549359388384166,Z0
aromatic HC,aromatic HC,4,0.22239338439206832,0.22239338439206832,Z0
aromatic HC,ether,4,0.5040829710336557,0.5040829710336557,Z0
aromatic HC,ketone/aldehyde,25,0.25277073540776324,-0.23101514218815583,Z0
aromatic HC,nitrile,1,0.48854197853688297,0.48854197853688297,Z0
aromatic HC,water,4,0.27375978010300217,0.27375978010300217,Z0
ester,acid,25,0.7879611076900872,-0.7879611076900872,Z0
ester,alcohol,18,3.6644235350949734,3.6644235350949734,Z0
ester,aromatic HC,2,0.1881207064033334,0.1881207064033334,Z0
ester,water,50,1.011031317977119,-1.011031317977119,Z0
ether,acid,25,0.890839217316453,0.890839217316453,Z0
ether,alcohol,90,1.2608302268407958,0.09747952409858568,Z0
ether,aromatic HC,29,0.086095298687786,-0.07487165237336858,Z0
ether,ether,5,0.026650812486607417,0.026309670111442612,Z0
ether,water,64,1.6327153315988512,-0.49806336835756565,Z0
halogenated,acid,102,0.46030824570296125,0.45028613379509796,Z0
halogenated,alcohol,106,1.756154442777956,1.5585360292361194,Z0
halogenated,amide,1,1.2557583878413,-1.2557583878413,Z0
halogenated,amine,4,0.2769664582043381,0.2769664582043381,Z0
halogenated,aromatic HC,30,0.2238725771843436,0.2238725771843436,Z0
halogenated,ether,5,0.04701481908020725,-0.04701481908020725,Z0
ketone/aldehyde,acid,28,1.3683745478813651,-1.3683745478813651,Z0
ketone/aldehyde,alcohol,9,4.73378704551019,4.73378704551019,Z0
ketone/aldehyde,aromatic HC,1,0.3705375380724715,-0.3705375380724715,Z0
ketone/aldehyde,water,53,2.2685651124253026,-2.2685651124253026,Z0
nitrile,alkene/alkyne,1,0.6060665567453478,0.6060665567453478,Z0
nitrile,aromatic HC,1,0.27962997028879366,0.27962997028879366,Z0
nitrile,water,2,3.8472256988703006,-3.8472256988703006,Z0
water,alkene/alkyne,1,12.490698891467536,12.490698891467536,Z0
water,ketone/aldehyde,3,0.38794075006758405,0.38794075006758405,Z0
water,nitrile,1,0.033432478917649444,-0.033432478917649444,Z0
acid,alkane,6,1.7084343401745758,1.7084343401745758,Z1
